Gene,median,biorep,counts,condition,time,treatment
Z1,560.301633471895,Bio2,1581.95170121104,6h_Dx,6h,Dx
Z1,560.301633471895,Bio2,534.606415764249,6h_xd,6h,xd
Z1,560.301633471895,Bio2,798.974272223226,6h_Dd,6h,Dd
Z1,560.301633471895,Bio3,451.528819558588,2h_xx,2h,xx
Z1,560.301633471895,Bio3,506.517073819202,2h_Dx,2h,Dx
Z1,560.301633471895,Bio3,510.153973835794,2h_xd,2h,xd
Z1,560.301633471895,Bio3,503.724433341144,2h_Dd,2h,Dd
Z1,560.301633471895,Bio3,494.277802609201,6h_xx,6h,xx
Z1,560.301633471895,Bio3,1611.40766149444,6h_Dx,6h,Dx
Z1,560.301633471895,Bio3,517.697024399938,6h_xd,6h,xd
Z1,560.301633471895,Bio3,773.094654869154,6h_Dd,6h,Dd
Z1,560.301633471895,Bio1,542.496777441595,12h_xx,12h,xx
Z1,560.301633471895,Bio1,5437.85808143869,12h_Dx,12h,Dx
Z1,560.301633471895,Bio1,439.096753743843,12h_xd,12h,xd
Z1,560.301633471895,Bio1,781.090390447761,12h_Dd,12h,Dd
Z1,560.301633471895,Bio1,541.933648329989,24h_xx,24h,xx
Z1,560.301633471895,Bio1,5938.3459457059,24h_Dx,24h,Dx
Z1,560.301633471895,Bio1,681.284731055935,24h_xd,24h,xd
Z1,560.301633471895,Bio1,901.04195614204,24h_Dd,24h,Dd
Z1,560.301633471895,Bio2,458.018741516223,12h_xx,12h,xx
Z1,560.301633471895,Bio2,5834.60143193746,12h_Dx,12h,Dx
Z1,560.301633471895,Bio2,396.62343633863,12h_xd,12h,xd
Z1,560.301633471895,Bio2,854.777228455178,12h_Dd,12h,Dd
Z1,560.301633471895,Bio2,497.677007539671,24h_xx,24h,xx
Z1,560.301633471895,Bio2,6905.96808867083,24h_Dx,24h,Dx
Z1,560.301633471895,Bio2,568.377308415715,24h_xd,24h,xd
Z1,560.301633471895,Bio2,1174.31054399826,24h_Dd,24h,Dd
Z1,560.301633471895,Bio3,452.138127121639,12h_xx,12h,xx
Z1,560.301633471895,Bio3,5385.96830257689,12h_Dx,12h,Dx
Z1,560.301633471895,Bio3,413.536981981037,12h_xd,12h,xd
Z1,560.301633471895,Bio3,932.753042729341,12h_Dd,12h,Dd
Z1,560.301633471895,Bio3,548.687703289827,24h_xx,24h,xx
Z1,560.301633471895,Bio3,6719.5119779385,24h_Dx,24h,Dx
Z1,560.301633471895,Bio3,650.62097539999,24h_xd,24h,xd
Z1,560.301633471895,Bio3,1082.06831842916,24h_Dd,24h,Dd
X3,4337.10029434531,Bio1,6805.65018799203,2h_xx,2h,xx
X3,4337.10029434531,Bio1,4273.83910538265,2h_Dx,2h,Dx
X3,4337.10029434531,Bio1,5867.65476591754,2h_xd,2h,xd
X3,4337.10029434531,Bio1,4310.34048286041,2h_Dd,2h,Dd
X3,4337.10029434531,Bio1,7489.92107596805,6h_xx,6h,xx
X3,4337.10029434531,Bio1,792.641472630339,6h_Dx,6h,Dx
X3,4337.10029434531,Bio1,4386.0545976855,6h_xd,6h,xd
X3,4337.10029434531,Bio1,777.224617280079,6h_Dd,6h,Dd
X3,4337.10029434531,Bio2,7108.96128732068,2h_xx,2h,xx
X3,4337.10029434531,Bio2,4104.01227137667,2h_Dx,2h,Dx
X3,4337.10029434531,Bio2,5825.29834017677,2h_xd,2h,xd
X3,4337.10029434531,Bio2,3823.37314225552,2h_Dd,2h,Dd
X3,4337.10029434531,Bio2,7042.04350645938,6h_xx,6h,xx
X3,4337.10029434531,Bio2,774.400497491408,6h_Dx,6h,Dx
X3,4337.10029434531,Bio2,4037.73315035549,6h_xd,6h,xd
X3,4337.10029434531,Bio2,816.778712829872,6h_Dd,6h,Dd
X3,4337.10029434531,Bio3,6956.28035950261,2h_xx,2h,xx
X3,4337.10029434531,Bio3,4092.60889911545,2h_Dx,2h,Dx
X3,4337.10029434531,Bio3,5891.96348794303,2h_xd,2h,xd
X3,4337.10029434531,Bio3,4363.86010583021,2h_Dd,2h,Dd
X3,4337.10029434531,Bio3,7306.04376981726,6h_xx,6h,xx
X3,4337.10029434531,Bio3,753.961382901066,6h_Dx,6h,Dx
X3,4337.10029434531,Bio3,4621.87305433861,6h_xd,6h,xd
X3,4337.10029434531,Bio3,746.241275632383,6h_Dd,6h,Dd
X3,4337.10029434531,Bio1,6399.81492477116,12h_xx,12h,xx
X3,4337.10029434531,Bio1,344.802733096811,12h_Dx,12h,Dx
X3,4337.10029434531,Bio1,5245.30887558694,12h_xd,12h,xd
X3,4337.10029434531,Bio1,422.580699716899,12h_Dd,12h,Dd
X3,4337.10029434531,Bio1,5632.01987736147,24h_xx,24h,xx
X3,4337.10029434531,Bio1,141.679367098678,24h_Dx,24h,Dx
X3,4337.10029434531,Bio1,6773.01413071938,24h_xd,24h,xd
X3,4337.10029434531,Bio1,246.276907854854,24h_Dd,24h,Dd
X3,4337.10029434531,Bio2,6218.68464896366,12h_xx,12h,xx
X3,4337.10029434531,Bio2,262.628044989885,12h_Dx,12h,Dx
X3,4337.10029434531,Bio2,5510.60177181508,12h_xd,12h,xd
X3,4337.10029434531,Bio2,374.127419141476,12h_Dd,12h,Dd
X3,4337.10029434531,Bio2,5761.0375946191,24h_xx,24h,xx
X3,4337.10029434531,Bio2,168.859676909386,24h_Dx,24h,Dx
X3,4337.10029434531,Bio2,6104.66725865262,24h_xd,24h,xd
X3,4337.10029434531,Bio2,198.429205495551,24h_Dd,24h,Dd
X3,4337.10029434531,Bio3,6005.61974926756,12h_xx,12h,xx
X3,4337.10029434531,Bio3,271.013691658328,12h_Dx,12h,Dx
X3,4337.10029434531,Bio3,4864.7345684595,12h_xd,12h,xd
X3,4337.10029434531,Bio3,398.582440564794,12h_Dd,12h,Dd
X3,4337.10029434531,Bio3,5446.34896390527,24h_xx,24h,xx
X3,4337.10029434531,Bio3,177.125639522072,24h_Dx,24h,Dx
X3,4337.10029434531,Bio3,6190.86699712079,24h_xd,24h,xd
X3,4337.10029434531,Bio3,215.069479439336,24h_Dd,24h,Dd
Y1,3291.11585043064,Bio1,5049.13936832507,2h_xx,2h,xx
Y1,3291.11585043064,Bio1,4646.85397489834,2h_Dx,2h,Dx
Y1,3291.11585043064,Bio1,4256.10397139146,2h_xd,2h,xd
Y1,3291.11585043064,Bio1,3699.2017901869,2h_Dd,2h,Dd
Y1,3291.11585043064,Bio1,4449.95944762775,6h_xx,6h,xx
Y1,3291.11585043064,Bio1,3364.70042727167,6h_Dx,6h,Dx
Y1,3291.11585043064,Bio1,2574.01265872785,6h_xd,6h,xd
Y1,3291.11585043064,Bio1,1555.26053374312,6h_Dd,6h,Dd
Y1,3291.11585043064,Bio2,4438.84334865127,2h_xx,2h,xx
Y1,3291.11585043064,Bio2,3433.98746733819,2h_Dx,2h,Dx
Y1,3291.11585043064,Bio2,3809.13153842843,2h_xd,2h,xd
Y1,3291.11585043064,Bio2,3217.5312735896,2h_Dd,2h,Dd
Y1,3291.11585043064,Bio2,4406.83807687759,6h_xx,6h,xx
Y1,3291.11585043064,Bio2,3456.29263135506,6h_Dx,6h,Dx
Y1,3291.11585043064,Bio2,2252.07498613613,6h_xd,6h,xd
Y1,3291.11585043064,Bio2,1626.88076043225,6h_Dd,6h,Dd
Y1,3291.11585043064,Bio3,4642.99331626911,2h_xx,2h,xx
Y1,3291.11585043064,Bio3,3660.90427445598,2h_Dx,2h,Dx
Y1,3291.11585043064,Bio3,3523.84133779169,2h_xd,2h,xd
Y1,3291.11585043064,Bio3,3502.0484076549,2h_Dd,2h,Dd
Y1,3291.11585043064,Bio3,4206.8778155109,6h_xx,6h,xx
Y1,3291.11585043064,Bio3,3099.61901859327,6h_Dx,6h,Dx
Y1,3291.11585043064,Bio3,2470.37933696548,6h_xd,6h,xd
Y1,3291.11585043064,Bio3,1599.89606821185,6h_Dd,6h,Dd
Y1,3291.11585043064,Bio1,2381.01526797421,12h_xx,12h,xx
Y1,3291.11585043064,Bio1,4172.56875690282,12h_Dx,12h,Dx
Y1,3291.11585043064,Bio1,1822.5225754158,12h_xd,12h,xd
Y1,3291.11585043064,Bio1,1457.07553019932,12h_Dd,12h,Dd
Y1,3291.11585043064,Bio1,2893.72117881862,24h_xx,24h,xx
Y1,3291.11585043064,Bio1,10175.0160521728,24h_Dx,24h,Dx
Y1,3291.11585043064,Bio1,1840.56762019144,24h_xd,24h,xd
Y1,3291.11585043064,Bio1,4287.34943914629,24h_Dd,24h,Dd
Y1,3291.11585043064,Bio2,2666.87893645107,12h_xx,12h,xx
Y1,3291.11585043064,Bio2,3713.46591542005,12h_Dx,12h,Dx
Y1,3291.11585043064,Bio2,1787.58739143403,12h_xd,12h,xd
Y1,3291.11585043064,Bio2,1347.11851961705,12h_Dd,12h,Dd
Y1,3291.11585043064,Bio2,2843.17272496563,24h_xx,24h,xx
Y1,3291.11585043064,Bio2,11536.6502052184,24h_Dx,24h,Dx
Y1,3291.11585043064,Bio2,1643.86970038796,24h_xd,24h,xd
Y1,3291.11585043064,Bio2,5156.99071768764,24h_Dd,24h,Dd
Y1,3291.11585043064,Bio3,2664.23447803919,12h_xx,12h,xx
Y1,3291.11585043064,Bio3,3178.97916797532,12h_Dx,12h,Dx
Y1,3291.11585043064,Bio3,1737.05271667452,12h_xd,12h,xd
Y1,3291.11585043064,Bio3,1269.38571980459,12h_Dd,12h,Dd
Y1,3291.11585043064,Bio3,2938.80459262051,24h_xx,24h,xx
Y1,3291.11585043064,Bio3,11671.8629511655,24h_Dx,24h,Dx
Y1,3291.11585043064,Bio3,1734.38516283507,24h_xd,24h,xd
Y1,3291.11585043064,Bio3,4404.12367048318,24h_Dd,24h,Dd
Y2,17484.2712802265,Bio1,17726.5332363284,2h_xx,2h,xx
Y2,17484.2712802265,Bio1,18566.5641367012,2h_Dx,2h,Dx
